en 5.2. start:189 paragraphs:3, tables:1, lists:0
de 5.2. start:189 paragraphs:4, tables:1, lists:2
en 5.3. start:205 paragraphs:4, tables:2, lists:0
de 5.3. start:217 paragraphs:4, tables:2, lists:0
en 5.4. start:228 paragraphs:7, tables:1, lists:0
de 5.4. start:240 paragraphs:8, tables:1, lists:0
en 5.5. start:270 paragraphs:6, tables:2, lists:0
de 5.5. start:282 paragraphs:6, tables:2, lists:0
en 5.6. start:312 paragraphs:4, tables:1, lists:0
de 5.6. start:324 paragraphs:5, tables:1, lists:0
en 5.7. start:334 paragraphs:5, tables:1, lists:0
de 5.7. start:346 paragraphs:6, tables:2, lists:0
de 5.8. start:372 paragraphs:7, tables:0, lists:2
en 6. start:359 paragraphs:3, tables:1, lists:0
de 6. start:401 paragraphs:4, tables:1, lists:0
en 6.1. start:387 paragraphs:3, tables:1, lists:1
de 6.1. start:428 paragraphs:2, tables:0, lists:1
en 6.2. start:420 paragraphs:1, tables:1, lists:0
de 6.2. start:457 paragraphs:1, tables:1, lists:0
en 6.3. start:430 paragraphs:1, tables:1, lists:0
de 6.3. start:468 paragraphs:2, tables:1, lists:0
en 7. start:441 paragraphs:1, tables:0, lists:0
de 7. start:478 paragraphs:1, tables:0, lists:0
en 7.1. start:444 paragraphs:1, tables:1, lists:0
de 7.1. start:481 paragraphs:1, tables:1, lists:0
en 7.2. start:452 paragraphs:0, tables:1, lists:0
de 7.2. start:489 paragraphs:0, tables:1, lists:0
en 7.3. start:458 paragraphs:0, tables:1, lists:0
de 7.3. start:495 paragraphs:0, tables:1, lists:0
en 8. start:465 paragraphs:0, tables:0, lists:0
de 8. start:502 paragraphs:1, tables:0, lists:0
en 8.1. start:467 paragraphs:1, tables:0, lists:0
de 8.1. start:505 paragraphs:16, tables:0, lists:3
en 8.1.1. start:474 paragraphs:10, tables:0, lists:0
de 8.1.1. start:566 paragraphs:5, tables:0, lists:0
en 8.1.2. start:516 paragraphs:5, tables:0, lists:0
de 8.1.2. start:585 paragraphs:17, tables:0, lists:0
en 8.1.3. start:532 paragraphs:17, tables:0, lists:0
de 8.1.3. start:653 paragraphs:2, tables:1, lists:0
en 8.1.4. start:602 paragraphs:1, tables:1, lists:0
de 8.1.4. start:665 paragraphs:12, tables:0, lists:0
en 8.1.5. start:612 paragraphs:11, tables:0, lists:0
de 8.1.5. start:703 paragraphs:13, tables:0, lists:0
en 8.1.6. start:650 paragraphs:12, tables:0, lists:0
de 8.1.6. start:742 paragraphs:9, tables:1, lists:0
en 8.1.7. start:689 paragraphs:7, tables:1, lists:0
de 8.1.7. start:771 paragraphs:7, tables:1, lists:0
en 8.1.8. start:718 paragraphs:6, tables:1, lists:0
de 8.1.8. start:795 paragraphs:14, tables:1, lists:1
en 8.1.9. start:741 paragraphs:13, tables:1, lists:1
de 8.1.9. start:845 paragraphs:12, tables:0, lists:0
en 8.1.10. start:792 paragraphs:12, tables:0, lists:0
de 8.1.10. start:886 paragraphs:7, tables:0, lists:1
en 8.1.11. start:831 paragraphs:6, tables:0, lists:1
de 8.1.11. start:922 paragraphs:9, tables:0, lists:1
en 8.1.12. start:866 paragraphs:5, tables:0, lists:1
de 8.1.12. start:951 paragraphs:5, tables:0, lists:0
en 8.1.13. start:894 paragraphs:3, tables:0, lists:0
en 8.2. start:903 paragraphs:4, tables:1, lists:0
de 8.2. start:967 paragraphs:6, tables:1, lists:0
en 8.3. start:919 paragraphs:3, tables:0, lists:0
de 8.3. start:985 paragraphs:4, tables:0, lists:0
en 9. start:930 paragraphs:0, tables:0, lists:0
de 9. start:997 paragraphs:0, tables:0, lists:0
en 9.1. start:932 paragraphs:2, tables:0, lists:0
de 9.1. start:999 paragraphs:3, tables:0, lists:0
en 9.2. start:938 paragraphs:3, tables:0, lists:0
de 9.2. start:1006 paragraphs:3, tables:0, lists:0
en 9.3. start:947 paragraphs:1, tables:0, lists:0
de 9.3. start:1014 paragraphs:1, tables:0, lists:0
en 9.4. start:951 paragraphs:1, tables:0, lists:0
de 9.4. start:1018 paragraphs:1, tables:0, lists:0
de 9.5. start:1021 paragraphs:4, tables:0, lists:0
de 9.6. start:1033 paragraphs:3, tables:0, lists:0
en 10. start:954 paragraphs:1, tables:0, lists:0
de 10. start:1044 paragraphs:1, tables:0, lists:0
en 10.1. start:958 paragraphs:3, tables:0, lists:0
de 10.1. start:1048 paragraphs:3, tables:0, lists:0
en 10.2. start:968 paragraphs:2, tables:0, lists:0
de 10.2. start:1056 paragraphs:1, tables:0, lists:0
en 10.3. start:975 paragraphs:1, tables:0, lists:0
de 10.3. start:1062 paragraphs:1, tables:0, lists:0
en 10.4. start:980 paragraphs:2, tables:0, lists:1
de 10.4. start:1069 paragraphs:2, tables:0, lists:1
en 10.5. start:993 paragraphs:2, tables:0, lists:0
de 10.5. start:1082 paragraphs:2, tables:0, lists:0
en 10.6. start:1000 paragraphs:2, tables:0, lists:0
de 10.6. start:1089 paragraphs:2, tables:0, lists:0
en 11. start:1006 paragraphs:1, tables:0, lists:0
de 11. start:1095 paragraphs:1, tables:0, lists:0
en 11.1. start:1009 paragraphs:2, tables:1, lists:0
de 11.1. start:1098 paragraphs:2, tables:1, lists:0
en 11.2. start:1029 paragraphs:2, tables:1, lists:0
de 11.2. start:1118 paragraphs:2, tables:1, lists:0
en 11.3. start:1058 paragraphs:2, tables:1, lists:0
de 11.3. start:1147 paragraphs:2, tables:1, lists:0
en 11.4. start:1082 paragraphs:2, tables:1, lists:0
de 11.4. start:1172 paragraphs:2, tables:1, lists:0
en 11.5. start:1102 paragraphs:5, tables:2, lists:1
de 11.5. start:1192 paragraphs:5, tables:2, lists:1
en 11.6. start:1133 paragraphs:2, tables:1, lists:0
de 11.6. start:1223 paragraphs:2, tables:1, lists:0
en 11.7. start:1150 paragraphs:2, tables:1, lists:0
de 11.7. start:1241 paragraphs:2, tables:1, lists:0
en 11.8. start:1167 paragraphs:2, tables:1, lists:0
de 11.8. start:1259 paragraphs:3, tables:2, lists:0
en 11.9. start:1197 paragraphs:2, tables:1, lists:0
de 11.9. start:1290 paragraphs:2, tables:1, lists:0
en 12. start:1214 paragraphs:0, tables:0, lists:0
de 12. start:1308 paragraphs:0, tables:0, lists:0
en 12.1. start:1216 paragraphs:13, tables:0, lists:2
de 12.1. start:1310 paragraphs:11, tables:0, lists:2
en 12.2. start:1281 paragraphs:2, tables:0, lists:0
de 12.2. start:1365 paragraphs:2, tables:0, lists:0
de 12.3. start:1374 paragraphs:1, tables:0, lists:0
en 13. start:1290 paragraphs:1, tables:0, lists:0
de 13. start:1382 paragraphs:2, tables:0, lists:0
